gene,f_score
RASAL1,257.5107987661561
KCTD4,225.44487000868455
TLN2,208.9045648029584
NRXN3,205.40403475650592
SST,199.34278647054526
SEC61A2,196.48851552639832
LRP11,190.93186764541505
GSKIP,189.38691905230803
LRRC8B,187.86507557327013
WDR7,187.192065705864
LRRC7,185.8196223090427
PRKCZ,185.69798777004394
CPNE6,181.93757330662163
MAST3,181.59786795715877
SERTM1,178.14155570642376
FAM19A1,176.1577960375014
PDE1A,173.88103620622505
MADD,173.35523309490776
CDKL5,172.21388806644055
ERC2,171.38203909999592
C5orf30,171.23645184870082
CRHBP,171.15397943185627
LOC283713///OTUD7A,169.10306478879866
TM2D3,167.84297707580143
CELF5,166.52084269705347
SEMA4A,165.70565753934812
ANK3,165.4997483903395
DCTN1,164.49542944750561
DDHD2,163.1074336651904
AK5,161.6853659608033
USP12,161.2365700341731
NAV3,160.71633447947613
MBLAC2,159.39797023541018
SLC30A3,158.14014312183542
PCLO,158.07144528571916
FAM179B,157.02786480862065
ATL1,156.2797851746563
PPP2R2C,155.75028626995714
DACT3,154.7886298508281
GSTO2,153.48307627747081
SGIP1,151.89388382712
UBR3,151.45268073690954
MIGA1,150.3973721917993
MARCH11,148.6068869784586
KCNAB1,148.38888568922047
GDA,148.12705535844634
GRM3,146.3517444422283
ATP2C1,144.95637694206576
TUBB4A,144.81650142727273
YPEL2,144.65057301183978
GABRA5,144.22696412552446
OAT,143.57640689296966
AMN1,143.45042178589426
STOX2,143.17702781325977
CNTN3,143.11194389360622
PLEKHM3,142.45993897337235
FSTL5,142.29535058367455
NPTXR,141.71293850067173
RASGRF2,141.10582750225421
PPP2R2D,139.53009758251034
DLG2,139.27012752967568
TTC7B,139.19901864797905
ANO3,139.16233318505198
AGTPBP1,138.7159121755892
KCNK1,138.2783608383388
CYP46A1,138.05427974781333
OPA1,137.9593358560977
KIAA0232,137.8252371559998
ARFGEF3,137.75393081665732
SCN3B,137.73031179412362
REPS2,137.27580358242625
ARHGDIG,137.13049721022472
CLCN4,136.91524216303404
SH3GL3,136.83246658230468
CDKL2,136.34479100049023
HTR2A,136.1327629425681
LOC100507547///PRRT1,136.006349844663
SOWAHA,135.8657517165581
RAPGEFL1,135.53107423842093
NPY,135.34563525845735
RAB11FIP4,135.07598638850234
PPP4R4,134.94495840763977
SMIM10L2A,134.24079298335985
CNTN4,134.16663396583064
NRG3,134.03477559278923
CPLX3,133.50455954337164
DNAJC6,133.44940459068488
PPM1H,133.28156965261022
CDK17,132.97131653547265
LOC100996542///GRM7,132.9189054722987
PPP2R2B,132.91645025208422
KLHL2,132.89912670334874
PPM1A,132.77882044866396
MUM1L1,132.41841559433638
C16orf70,132.37817827571578
PAK3,132.35629440947136
C12orf76,132.23610073213072
LOC101927562///DUSP8,132.16169162432092
TERF2IP,131.64535619730665
SYNGR3,131.56347960751435
